City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,287.22,61,93,0.45,AU,1698612506
1,salalah,17.0151,54.0924,299.2,83,0,2.06,OM,1698612214
2,dawson creek,55.7666,-120.2362,270.95,64,20,1.03,CA,1698612507
3,kissidougou,9.1848,-10.0999,296.19,76,14,1.14,GN,1698612507
4,college,64.8569,-147.8028,275.26,72,75,2.06,US,1698612507
5,necochea,-38.5473,-58.7368,288.53,47,18,10.03,AR,1698612458
6,tura,25.5198,90.2201,292.27,92,12,1.76,IN,1698612430
7,zhigalovo,54.8097,105.1578,263.6,70,0,0.93,RU,1698612508
8,guerrero negro,27.9769,-114.0611,297.34,50,0,5.98,MX,1698612446
9,margaret river,-33.95,115.0667,285.69,63,86,5.29,AU,1698612422
10,canutama,-6.5339,-64.3831,308.93,30,93,1.27,BR,1698612508
11,laughlin,35.1678,-114.573,292.08,17,0,16.46,US,1698612508
12,adamstown,-25.066,-130.1015,295.49,84,98,6.56,PN,1698612407
13,shinkafi,13.0753,6.5105,302.46,18,45,3.46,NG,1698612509
14,ilulissat,69.2167,-51.1,271.16,64,75,2.06,GL,1698612427
15,geraldton,-28.7667,114.6,287.38,88,41,5.14,AU,1698612450
16,tazacorte,28.629,-17.9293,295.69,84,20,2.57,ES,1698612414
17,olonkinbyen,70.9221,-8.7187,273.5,69,100,1.62,SJ,1698612429
18,port alfred,-33.5906,26.891,287.69,74,93,2.68,ZA,1698612437
19,grytviken,-54.2811,-36.5092,277.93,94,100,2.83,GS,1698612408
20,georgetown,5.4112,100.3354,298.16,97,20,0.51,MY,1698612148
21,puerto natales,-51.7236,-72.4875,281.4,46,75,10.29,CL,1698612410
22,papatowai,-46.5619,169.4708,285.65,54,11,1.91,NZ,1698612429
23,pangody,65.85,74.4859,258.73,95,18,1.5,RU,1698612491
24,gisborne,-38.6533,178.0042,285.75,92,100,7.56,NZ,1698612455
25,smolensk,55.0,33.0,271.59,93,100,2.13,RU,1698612510
26,hawaiian paradise park,19.5933,-154.9731,301.88,71,20,2.57,US,1698612409
27,port-aux-francais,-49.35,70.2167,274.74,81,100,11.91,TF,1698612409
28,ongjin,37.9347,125.3619,286.64,88,75,1.84,KP,1698612480
29,kofele,7.0667,38.7833,284.43,96,100,1.22,ET,1698612511
30,albany,42.6001,-73.9662,280.11,92,100,1.61,US,1698612208
31,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.66,GF,1698612429
32,port lincoln,-34.7333,135.8667,286.83,82,5,5.9,AU,1698612437
33,bel ombre,-4.6167,55.4167,299.06,89,40,7.72,SC,1698612511
34,waitangi,-43.9535,-176.5597,285.83,72,4,0.89,NZ,1698612418
35,palapye,-22.546,27.1251,289.96,69,82,10.36,BW,1698612511
36,dudinka,69.4058,86.1778,256.3,98,65,1.79,RU,1698612412
37,qaqortoq,60.7167,-46.0333,276.92,66,100,3.79,GL,1698612416
38,balqash,46.8481,74.995,284.59,85,100,2.44,KZ,1698612512
39,wailua homesteads,22.0669,-159.378,300.59,71,75,2.57,US,1698612408
40,keflavik,64.0049,-22.5624,277.39,75,0,2.06,IS,1698612422
41,hamilton,39.1834,-84.5333,287.5,94,100,2.06,US,1698612354
42,palikir - national government center,6.9248,158.1611,297.56,100,100,2.06,FM,1698612463
43,bilibino,68.0546,166.4372,249.64,92,10,2.22,RU,1698612416
44,charlottetown,46.2352,-63.1267,279.31,69,75,4.63,CA,1698612228
45,utiel,39.5667,-1.2,286.9,64,100,1.75,ES,1698612513
46,puerto ayora,-0.7393,-90.3518,303.13,87,41,3.58,EC,1698612408
47,hithadhoo,-0.6,73.0833,300.12,82,99,6.92,MV,1698612431
48,lihue,21.9789,-159.3672,300.92,70,75,2.57,US,1698612443
49,nemuro,43.3236,145.575,282.65,71,21,4.4,JP,1698612450
50,forster,-32.1667,152.5167,290.53,80,9,3.92,AU,1698612514
51,astrakhan,46.3497,48.0408,282.08,87,0,3.0,RU,1698612514
52,dragasani,44.65,24.2667,285.58,59,2,1.5,RO,1698612514
53,igarka,67.4667,86.5833,256.33,97,34,0.7,RU,1698612449
54,utrik,11.2278,169.8474,301.43,81,35,8.38,MH,1698612449
55,kodiak,57.79,-152.4072,280.88,100,100,4.12,US,1698612437
56,ulsteinvik,62.3432,5.8487,279.12,60,0,3.13,NO,1698612438
57,iqaluit,63.7506,-68.5145,266.0,63,75,4.63,CA,1698612410
58,edinburgh of the seven seas,-37.0676,-12.3116,284.26,64,88,12.31,SH,1698612409
59,caribou,46.8606,-68.012,277.07,64,20,5.14,US,1698612515
60,sur,22.5667,59.5289,300.16,66,78,3.44,OM,1698612432
61,christchurch,-43.5333,172.6333,287.82,73,75,9.26,NZ,1698612303
62,saint-philippe,-21.3585,55.7679,297.92,87,47,4.82,RE,1698612516
63,thompson,55.7435,-97.8558,270.24,63,75,5.14,CA,1698612139
64,broken hill,-31.95,141.4333,288.2,43,35,5.26,AU,1698612433
65,lorengau,-2.0226,147.2712,298.79,87,100,3.27,PG,1698612483
66,pushkin,59.6873,30.3405,273.16,89,100,4.02,RU,1698612516
67,vicam,27.6333,-110.2833,304.35,28,0,3.12,MX,1698612377
68,tolanaro,-25.0319,46.9987,297.19,73,0,5.14,MG,1698612483
69,avarua,-21.2078,-159.775,298.18,65,20,4.63,CK,1698612426
70,dexter,36.7959,-89.9579,284.03,94,100,3.97,US,1698612517
71,badger,64.8,-147.5333,275.21,78,20,2.06,US,1698612449
72,katabu,-4.9333,122.5167,295.58,94,55,1.52,ID,1698612517
73,copiapo,-27.3667,-70.3333,290.98,32,0,3.93,CL,1698612467
74,hadibu,12.65,54.0333,299.3,75,43,3.47,YE,1698612432
75,longyearbyen,78.2186,15.6401,268.06,86,75,3.09,SJ,1698612413
76,westport,41.1415,-73.3579,285.14,90,100,4.12,US,1698612307
77,nadi,-17.8,177.4167,301.15,65,20,2.06,FJ,1698612512
78,aasiaat,68.7098,-52.8699,266.44,81,100,0.82,GL,1698612431
79,pleszew,51.8964,17.7855,286.09,73,96,6.18,PL,1698612518
80,shakhtinsk,49.71,72.5872,282.44,97,100,8.11,KZ,1698612518
81,selfoss,63.9331,-20.9971,273.73,70,71,2.81,IS,1698612409
82,tiksi,71.6872,128.8694,257.66,99,92,2.88,RU,1698612417
83,ushuaia,-54.8,-68.3,274.96,93,100,11.18,AR,1698612172
84,tanjung pandan,-2.75,107.65,298.04,84,74,1.94,ID,1698612433
85,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,100,2.0,RU,1698612457
86,nova vicosa,-17.8919,-39.3719,298.04,77,27,6.94,BR,1698612481
87,yellowknife,62.456,-114.3525,269.49,75,100,5.14,CA,1698612235
88,santa terezinha,-29.9002,-50.0904,295.18,87,69,1.37,BR,1698612435
89,acarau,-2.8856,-40.12,300.22,69,34,8.0,BR,1698612242
90,atafu village,-8.5421,-172.5159,302.23,70,96,4.72,TK,1698612414
91,enewetak,11.3474,162.3373,302.01,76,55,8.67,MH,1698612430
92,kimbe,-5.5502,150.1429,298.46,88,100,1.38,PG,1698612421
93,al kut,32.5147,45.819,299.77,27,100,0.48,IQ,1698612520
94,jamestown,42.097,-79.2353,282.05,95,100,4.12,US,1698612218
